495,209,103,73,74,412,377,640,x
639,555,143,77,79,545,466,941,x
840,643,257,94,101,814,740,1083,x
956,846,351,109,139,950,870,1275,x
1126,976,503,140,153,1115,972,1485,LEFT
1202,1186,661,156,177,1173,1101,1600,LEFT
1363,1235,832,191,207,1318,1199,1612,LEFT
1375,1315,981,208,221,1368,1220,1648,LEFT
1402,1322,1056,242,228,1385,1188,1642,LEFT
1416,1270,1035,242,232,1328,1156,1633,LEFT
1368,1186,988,247,220,1371,1136,1575,LEFT
1220,1085,857,234,198,1283,1032,1604,LEFT
1137,974,655,216,188,1163,938,1636,x
1069,825,487,177,162,1068,948,1594,x
892,817,403,166,160,1070,955,1515,x
777,654,331,152,161,960,818,1483,x
674,570,303,155,151,847,772,1318,x
596,551,303,164,135,776,679,1222,x
473,523,283,167,128,738,672,1214,x
408,450,264,156,105,575,557,1057,x
380,407,181,145,86,519,495,890,x
307,337,160,114,82,454,472,800,x
199,233,143,99,88,313,401,587,x
160,156,113,84,82,262,110,166,x
82,73,102,87,88,238,88,62,x
74,69,101,158,101,104,52,50,x
60,70,107,182,117,99,51,48,x
60,72,76,182,118,82,47,47,x
58,71,78,202,117,80,48,46,x
57,70,126,239,116,73,49,46,x
50,64,144,208,103,63,47,42,x
50,77,203,208,90,54,44,43,x
46,84,272,226,91,59,43,49,x
47,261,344,216,92,59,43,51,x
47,261,330,173,88,61,44,48,x
50,261,334,160,85,60,42,47,x
49,257,307,132,81,57,43,50,x
51,258,325,96,65,53,42,46,x
50,77,275,74,64,49,40,47,x
51,74,276,105,62,48,37,51,x
47,75,260,109,61,52,36,52,x
52,74,259,109,59,50,38,46,x
51,56,168,105,57,50,37,45,x
47,54,157,102,52,47,36,41,x
47,51,154,84,76,51,36,43,x
48,48,151,83,78,50,40,43,x
45,49,160,91,86,50,40,47,x
45,52,167,89,86,72,44,47,x
47,51,160,85,85,77,46,46,x
46,54,169,72,65,75,47,45,x
46,53,178,74,65,75,45,45,x
45,52,166,65,53,74,42,40,x
48,51,154,67,56,50,44,41,x
50,49,126,66,56,45,41,44,x
50,48,120,62,55,43,44,42,x
50,50,106,52,51,45,43,43,x
51,51,98,54,54,47,45,45,x
48,51,159,59,50,45,41,47,x
49,52,163,60,52,43,46,43,x
46,53,161,60,51,45,45,44,x
47,52,161,63,51,43,46,49,x
61,54,160,63,48,44,47,52,x
65,58,186,56,50,49,47,53,x
74,63,342,62,46,53,44,62,x
101,63,363,61,48,51,43,65,x
140,72,367,58,46,54,50,164,x
164,82,371,59,47,79,88,265,x
225,89,406,71,49,91,154,453,x
303,142,300,87,61,172,249,689,x
353,334,300,100,68,244,502,841,x
571,623,333,135,98,438,906,1126,x
704,779,372,182,110,593,1186,1354,x
838,841,352,217,140,752,1374,1491,x
1007,909,392,252,155,914,1516,1612,LEFT
1192,878,464,269,185,1036,1635,1671,LEFT
1236,772,468,264,187,1165,1635,1722,LEFT
1264,629,461,249,204,1223,1558,1673,LEFT
1271,606,449,246,210,1312,1538,1717,LEFT
1187,637,427,234,208,1339,1513,1684,LEFT
1056,648,393,214,198,1338,1394,1703,LEFT
1064,678,463,215,190,1197,1213,1548,LEFT
1052,792,462,211,173,1136,1138,1573,LEFT
1074,787,445,186,160,1000,1069,1417,x
1049,744,440,194,158,939,996,1472,x
1002,737,395,211,145,879,898,1359,x
848,727,293,208,146,919,910,1444,x
784,705,287,219,152,878,911,1416,x
619,702,270,232,139,833,785,1455,x
582,651,259,202,131,772,774,1242,x
551,621,237,183,123,699,761,1206,x
534,518,201,176,115,611,706,1049,x
438,341,167,150,94,611,594,873,x
375,255,151,117,87,588,549,672,x
314,193,160,101,78,470,321,597,x
311,190,158,94,73,422,305,548,x
251,162,153,77,68,406,227,409,x
198,155,130,69,62,276,169,256,x
161,116,124,63,71,177,110,232,x
136,73,64,61,67,102,79,181,x
59,66,62,65,67,57,44,67,x
46,65,65,72,71,57,36,46,x
49,97,62,71,73,59,35,47,x
50,114,138,85,59,58,36,44,x
50,119,207,192,77,58,38,43,x
52,208,247,194,83,57,40,47,x
54,211,272,193,82,53,44,49,x
52,198,291,197,79,53,47,47,x
54,240,495,211,88,68,45,57,x
52,242,493,126,77,76,44,63,x
50,173,478,122,70,74,42,59,x
49,259,471,118,68,75,38,57,x
47,260,476,112,68,73,39,57,x
50,212,292,65,54,63,39,48,x
50,215,252,55,47,48,39,41,x
50,225,249,55,47,44,42,41,x
52,114,273,55,48,43,40,46,x
49,110,249,53,48,47,38,48,x
46,107,255,65,55,40,40,46,x
46,91,271,68,56,42,41,47,x
45,58,269,65,55,45,41,48,x
43,57,231,64,55,46,42,44,x
49,74,230,63,55,49,41,45,x
47,73,163,51,47,46,41,46,x
47,75,142,48,48,47,41,45,x
49,74,145,53,50,52,44,47,x
50,75,147,53,52,52,46,46,x
47,59,142,52,52,47,45,45,x
49,62,98,51,50,50,43,45,x
52,60,108,53,49,48,43,45,x
51,62,114,48,48,42,41,44,x
59,56,109,51,44,42,44,46,x
67,56,105,51,42,43,45,47,x
68,50,98,52,45,42,48,50,x
66,49,75,51,44,53,73,63,x
98,51,65,50,44,57,143,71,x
114,59,67,54,46,69,247,96,x
152,67,82,61,50,111,532,201,x
242,84,100,76,56,177,621,401,x
392,172,133,105,70,301,817,491,x
592,278,214,130,94,594,1087,698,x
752,387,261,169,110,736,1226,1004,LEFT
916,535,283,187,131,981,1302,1241,LEFT
980,600,302,197,149,1116,1345,1487,LEFT
1030,667,315,217,177,1292,1412,1678,LEFT
1104,708,289,216,175,1255,1361,1845,LEFT
1073,690,312,221,194,1288,1373,1840,LEFT
1010,594,318,230,208,1240,1319,1828,LEFT
980,623,313,233,208,1165,1332,1765,LEFT
995,615,315,219,199,1051,1238,1621,LEFT
890,598,324,229,205,1152,1182,1531,LEFT
890,606,277,218,189,1115,1037,1546,LEFT
926,674,311,231,166,1118,1018,1491,LEFT
950,616,319,229,155,1118,1007,1488,LEFT
835,626,299,218,138,1034,894,1445,LEFT
815,607,288,214,137,893,849,1410,LEFT
835,593,302,212,136,930,881,1409,LEFT
755,687,268,182,142,799,817,1351,LEFT
811,756,263,181,159,752,691,1300,LEFT
839,703,283,196,162,852,877,1370,LEFT
817,681,288,183,160,897,793,1285,LEFT
795,687,280,175,157,795,745,1279,LEFT
796,522,259,169,149,789,713,1299,LEFT
655,441,238,155,131,799,762,1181,LEFT
620,421,208,129,123,663,595,1104,LEFT
543,385,173,124,108,558,575,1021,x
385,317,139,101,92,497,540,721,x
238,281,105,89,85,429,501,543,x
176,141,89,82,75,343,374,414,x
113,73,78,85,66,323,249,289,x
86,67,72,73,59,196,222,189,x
79,102,72,70,64,130,181,155,x
58,101,69,67,59,60,42,47,x
56,99,68,66,60,59,42,46,x
55,98,67,57,59,56,41,47,x
55,92,62,100,69,56,39,47,x
55,51,64,138,89,52,39,43,x
56,108,139,160,98,54,41,46,x
54,114,173,165,100,59,35,43,x
55,191,220,175,103,59,40,45,x
51,239,232,165,98,59,40,45,x
47,245,321,136,79,58,41,45,x
48,228,342,109,67,53,43,44,x
48,224,327,101,63,47,44,45,x
49,164,307,83,58,46,41,43,x
48,83,313,59,55,46,41,43,x
51,85,345,92,56,51,44,45,x
49,81,327,98,60,52,41,46,x
50,81,330,111,64,52,42,45,x
50,78,320,112,60,52,43,47,x
52,76,310,113,59,50,43,46,x
50,62,221,90,59,46,38,48,x
48,61,428,93,54,45,37,48,x
46,64,445,87,49,49,38,48,x
46,66,444,85,51,49,36,48,x
43,67,445,81,52,51,39,46,x
42,59,450,77,48,51,42,46,x
43,64,352,68,47,53,42,43,x
41,60,341,63,47,49,42,42,x
39,58,343,65,48,50,43,42,x
42,57,348,65,48,47,40,47,x
42,57,345,67,50,44,38,43,x
47,60,229,62,54,44,40,44,x
48,57,251,58,57,43,41,44,x
48,60,282,58,60,48,42,45,x
47,60,273,56,57,52,42,43,x
49,65,235,56,56,53,42,46,x
49,57,234,56,50,50,40,45,x
49,57,206,51,47,52,43,48,x
48,56,166,50,43,50,42,47,x
50,55,162,51,48,50,45,46,x
51,48,159,51,48,52,44,48,x
47,50,181,55,47,57,47,49,x
48,56,236,56,52,56,46,47,x
51,56,230,56,49,55,45,47,x
52,58,229,54,50,50,43,47,x
49,55,218,52,49,47,45,43,x
46,52,207,49,51,42,42,41,x
46,48,174,51,53,42,42,42,x
46,52,181,51,55,42,42,41,x
44,48,180,52,54,42,42,41,x
45,52,178,54,53,42,39,43,x
45,51,165,54,52,41,41,43,x
44,50,97,54,46,41,38,44,x
41,53,132,52,46,42,39,42,x
39,53,141,55,44,41,36,41,x
40,49,141,57,46,43,38,41,x
43,49,145,57,46,42,36,40,x
45,46,146,57,49,43,37,38,x
46,41,102,64,54,41,39,40,x
44,42,91,61,53,42,39,41,x
45,41,90,62,52,39,39,43,x
46,40,54,62,57,41,41,43,x
44,44,45,63,53,43,42,44,x
47,43,44,56,46,43,41,42,x
47,41,46,60,48,40,42,44,x
45,43,50,52,49,42,42,41,x
47,41,54,55,45,40,42,42,x
48,41,57,54,54,39,43,43,x
45,42,61,93,84,46,39,48,x
48,45,61,108,88,48,39,45,x
49,45,62,137,89,48,38,46,x
45,71,62,138,90,50,39,47,x
43,70,61,139,88,49,36,45,x
45,70,57,124,62,45,39,40,x
44,70,59,124,85,47,40,43,x
42,71,56,95,86,47,42,40,x
46,47,55,96,87,43,38,38,x
47,47,53,95,86,46,40,41,x
45,47,56,86,85,47,40,42,x
44,44,62,101,72,45,40,40,x
47,44,113,104,73,47,39,40,x
44,50,134,103,73,46,41,40,x
46,48,133,103,72,42,41,39,x
45,48,132,107,71,42,39,41,x
43,49,128,75,59,44,37,42,x
45,47,87,90,66,44,38,42,x
47,43,52,85,64,47,40,42,x
45,45,52,85,67,48,40,43,x
45,45,54,89,72,49,40,41,x
47,45,71,88,71,46,42,43,x
46,46,95,66,73,48,41,45,x
47,45,96,77,77,45,39,45,x
47,46,98,102,78,47,39,46,x
50,46,98,96,74,47,40,47,x
51,56,89,97,74,49,36,44,x
48,62,59,101,64,46,37,43,x
45,60,73,108,61,49,38,42,x
46,58,104,86,58,49,39,40,x
45,58,122,89,73,53,38,40,x
42,48,169,99,74,52,38,42,x
41,42,173,114,79,53,37,43,x
42,47,191,108,84,53,35,43,x
43,50,178,107,93,50,35,43,x
43,53,167,106,86,45,33,44,x
44,55,156,111,98,48,37,46,x
50,55,168,96,94,46,40,48,x
49,54,146,122,109,45,40,46,x
46,95,203,130,108,48,42,48,x
48,93,204,128,105,50,46,45,x
50,108,197,121,99,45,43,43,x
45,107,184,123,101,49,39,45,x
47,113,179,114,86,50,42,45,x
47,84,150,121,83,48,40,42,x
46,92,149,125,86,49,37,44,x
44,75,129,136,83,50,39,45,x
45,89,141,165,86,49,38,43,x
44,87,153,150,80,48,39,44,x
44,94,125,149,80,49,39,47,x
42,102,144,149,78,48,38,45,x
43,114,143,144,74,51,39,46,x
39,104,137,107,71,49,39,43,x
40,101,128,113,69,50,42,45,x
38,93,146,109,62,51,42,42,x
42,103,174,125,70,51,43,46,x
45,91,172,113,79,52,43,45,x
46,90,170,112,81,55,44,46,x
45,88,173,104,87,54,38,44,x
49,90,155,95,89,54,38,46,x
46,84,118,69,89,54,39,45,x
43,81,130,79,87,54,37,47,x
43,81,145,103,85,52,36,50,x
46,90,144,113,82,53,42,50,x
43,95,147,112,82,52,42,49,x
41,84,139,116,75,53,41,48,x
42,90,137,114,70,51,43,43,x
45,91,138,99,67,49,44,40,x
43,86,139,112,69,47,40,41,x
43,79,127,110,71,47,39,40,x
45,64,139,104,67,46,38,42,x
43,79,154,105,76,48,37,44,x
43,84,170,111,75,47,39,44,x
43,83,205,92,71,47,39,44,x
44,83,216,95,70,46,40,49,x
47,84,211,97,72,45,43,47,x
48,64,206,91,58,41,44,48,x
47,60,209,74,60,43,43,46,x
50,60,190,65,62,48,41,45,x
53,66,194,60,61,50,42,40,x
48,69,230,62,59,51,39,37,x
49,71,265,63,59,51,39,37,x
50,71,264,60,53,56,43,41,x
54,79,257,62,49,61,54,46,x
60,77,264,66,50,123,61,50,x
72,101,237,63,55,158,69,70,x
147,106,188,61,57,189,128,117,x
210,126,167,74,61,253,155,240,x
318,166,175,100,80,363,289,538,LEFT
459,350,197,124,94,438,426,688,LEFT
643,470,247,147,129,569,540,947,LEFT
809,521,253,168,152,858,667,1205,LEFT
962,584,284,196,170,1037,786,1375,LEFT
1156,656,310,202,194,1231,881,1454,LEFT
1220,760,306,225,212,1390,918,1527,LEFT
1215,724,292,233,220,1423,927,1525,LEFT
1243,759,316,251,227,1360,949,1545,LEFT
1255,850,316,263,230,1372,1033,1598,LEFT
1159,944,307,261,213,1265,970,1622,LEFT
1133,872,304,238,194,1114,973,1602,LEFT
1091,861,297,225,170,1068,957,1598,LEFT
1054,811,288,222,160,1117,965,1611,LEFT
1050,760,273,219,158,988,923,1530,LEFT
963,630,262,214,153,895,886,1479,LEFT
957,663,263,220,169,974,890,1462,LEFT
931,663,249,215,166,911,842,1363,LEFT
804,653,225,183,150,708,713,1107,x
592,542,248,145,129,659,507,993,x
539,467,237,131,132,691,502,786,x
331,252,204,108,98,518,295,580,x
261,180,189,100,89,505,275,460,x
202,166,178,95,81,481,235,421,x
149,141,89,97,76,410,197,150,x
141,76,52,148,114,274,134,101,x
85,66,48,147,115,89,70,48,x
49,63,49,148,114,59,44,45,x
47,59,44,152,119,54,42,41,x
49,58,46,204,127,57,41,41,x
50,61,61,233,99,54,41,43,x
49,59,65,242,103,52,39,44,x
49,67,69,250,107,53,41,44,x
52,115,71,281,109,51,39,46,x
58,193,75,277,109,53,41,49,x
61,248,153,235,110,58,42,50,x
62,250,196,226,106,57,43,51,x
64,258,210,225,101,55,41,53,x
62,240,221,202,117,57,42,50,x
55,185,240,147,110,55,42,45,x
51,134,212,137,95,48,40,43,x
51,149,309,148,96,50,38,41,x
48,143,320,157,97,52,42,39,x
